species,Lat,Lon,Temp,Sal
Pedospumella,51.667302,2.815302,12.4023456573486,33.4487686157227
Pedospumella,73.35268,80.53281,0.624428987503052,20.8041915893555
Pedospumella,54.48522,18.57111,10.2216796875,6.7254581451416
Pedospumella,50.3668,-4.1561,12.7421531677246,34.7799835205078
Pedospumella,50.3674,-4.1544,12.7421531677246,34.7799835205078
Pedospumella,48.71751,-3.96649,12.9672632217407,35.0478210449219
Pedospumella,45.5188,13.5673,17.4991683959961,35.0731163024902
Pedospumella,58.87633,11.111884,10.2113571166992,28.4642696380615
Pedospumella,-64.88295,-62.518883,-0.507197022438049,33.6796951293945
Pedospumella,-64.876633,-63.586283,-0.637391984462738,33.1572647094727
Pedospumella,-62.654217,-60.60925,-0.37534698843956,33.9367713928223
Pedospumella,-54.26,-36.496,1.81826603412628,33.762939453125
Pedospumella,60.25,25.3,7.88705110549927,4.28653287887573
Pedospumella,66.59,32.96,3.92325305938721,27.1295490264893
Pedospumella,66.53,33.11,4.03751277923584,27.1719722747803
Pedospumella,37.5653,15.1648,19.9867572784424,38.3658981323242
Pedospumella,13.88,-116.47,27.3040714263916,33.7367401123047
Pedospumella,-22.9729,-36.9546,25.2076930999756,37.0653228759766
Pedospumella,-28.6249,-11.803,21.3950119018555,36.1564331054688
Pedospumella,-26.9109,-21.4268,22.9343318939209,36.3840026855469
Pedospumella,-15.8315,-33.4057,26.6353797912598,37.3086433410645
Pedospumella,-3.0302,-27.3268,27.2962436676025,35.9691696166992
Pedospumella,-27.9787,63.2475,22.9024257659912,35.6362457275391
Pedospumella,-31.8145,6.8411,18.7504367828369,35.6376152038574
Pedospumella,-39.2293,135.1939,14.7189493179321,35.1234245300293
Pedospumella,-31.1554,110.1788,19.9267177581787,35.7147216796875
Pedospumella,-30.3327,103.309,19.6829872131348,35.8622016906738
Pedospumella,-29.6495,92.9877,20.2557582855225,35.9053382873535
Pedospumella,-29.8109,82.624,20.45458984375,35.9373931884766
Pedospumella,-5.7377,-170.769,28.9049816131592,35.4304847717285
Pedospumella,11.9982,-108.062,28.3711471557617,33.5446243286133
Pedospumella,15.9133,-124.4922,25.4682655334473,34.2549781799316
Pedospumella,9.217,-163.5257,27.5736999511719,34.350658416748
Pedospumella,18.0446,-133.2629,23.6979885101318,34.4738121032715
Pedospumella,21.0643,-150.3505,24.4493560791016,34.9609451293945
Pedospumella,17.4275,-59.8284,27.6376399993896,35.0237693786621
Pedospumella,10.087,-99.2483,28.2999305725098,33.463306427002
Pedospumella,69.9836,-125.8522,0.575685977935791,30.0128898620605
Pedospumella,35.343153,25.136605,20.7262439727783,38.5860404968262
Pedospumella,58.875155,11.103194,10.2113571166992,28.4642696380615
Pedospumella,58.859877,11.080491,10.2192535400391,28.4712162017822
Pedospumella,44.337,143.3808,8.06908416748047,32.2060317993164
Thraustochytrium aureum,57.3122,20.0762,9.5422420501709,6.89288377761841
Thraustochytrium aureum,55.55528,18.40023,9.85163593292236,7.0188889503479
Thraustochytrium aureum,58.58333,18.23333,8.80202007293701,6.39749622344971
Thraustochytrium aureum,58.80333,17.62367,8.55129718780518,6.26232814788818
Thraustochytrium aureum,57.31215,20.07623,9.5422420501709,6.89288377761841
Thraustochytrium aureum,56.37078,16.20198,9.13730335235596,6.79143714904785
Thraustochytrium aureum,57.2137,19.509,9.45458793640137,6.8467698097229
Thraustochytrium aureum,-33.9911,151.2325,20.310941696167,35.5324020385742
Thraustochytrium aureum,-33.8472,151.1984,20.2928791046143,35.5348205566406
Thraustochytrium aureum,-33.992,151.2323,20.310941696167,35.5324020385742
Thraustochytrium aureum,59.8822,23.2538,8.15349388122559,5.30860185623169
Thraustochytrium aureum,55.0048,10.1082,10.3697624206543,12.8494243621826
Thraustochytrium aureum,57.427,17.676,9.13235855102539,6.57451200485229
Thraustochytrium aureum,55.038,13.901,9.95567417144775,7.2928638458252
Thraustochytrium aureum,55.185,13.791,9.88394641876221,7.24174785614014
Thraustochytrium aureum,55.434,14.813,9.73978042602539,7.07190084457397
Thraustochytrium aureum,56.032,16.65,9.37239837646484,6.85567283630371
Thraustochytrium aureum,57.04,17.529,9.15433692932129,6.6499490737915
Thraustochytrium aureum,54.5181,18.55597,10.2327289581299,6.73239803314209
Thraustochytrium aureum,13.1623,-53.4215,27.605936050415,34.8537826538086
Thraustochytrium aureum,50.663612,-2.496568,12.6465063095093,34.6250801086426
Thraustochytrium aureum,50.750971,-1.079981,12.6645679473877,34.0786781311035
Thraustochytrium aureum,50.840885,-1.078214,12.6628112792969,34.1040267944336
Thraustochytrium aureum,50.661056,-1.081738,12.6903877258301,34.2492408752441
