Sample,ID,N_dots,Morphotype
Buaytred 10,10-13,0,T
Buaytred 10,10-9,2,T
Buaytred 10,10-26,2,T
Buaytred 10,10-12,4,T
Buaytred 10,10-15,18,T
Buaytred 10,10-4,2,T
Buaytred 10,10-16,5,T
Buaytred 10,10-11,31,T
Buaytred 10,10-2,2,T
Buaytred 8,8-9,2,T
Buaytred 8,8-22,10,T
Buaytred 8,8-12,15,T
Buaytred 8,8-29,17,T
Buaytred 8,8-25,20,T
Buaytred 8,8-30,39,T
Buaytred 8,8-2,12,T
Buaytred 8,8-20,43,T
Buaytred 8,8-19,10,T
Buaytred 8,8-13,13,T
Buaytred 8,8-6,35,T
Buaytred 8,8-26,2,T
Buaytred 8,8-8,1,T
Buaytred 8,8-18,7,T
Buaytred 8,8-24,11,T
Buaytred 8,8-10,11,T
Buaytred 8,8-28,23,T
Buaytred 8,8-21,21,T
Buaytred 8,8-3,2,T
Buaytred 8,8-4,5,T
Buaytred 8,8-14,4,T
Buaytred 8,8-5,10,T
Buaytred 8,8-14,1,T
Buaytred 8,8-1,14,E
Buaytred 8,8-15,3,E
Buaytred 8,8-27,2,E
Buaytred 8,8-7,3,E
Buaytred 8,8-16,2,E
Buaytred 8,8-11,5,E
Buaytred 8,8-23,0,E
