Year,t_peak,Sp_start,Su_start,Su_end,Ice_clear_G,Su_start_1,Su_duration,Su_duration_1,Su_end_1,t_Spring,t_Summer,t.Spring_1,t_Summer_1,NAO,NAO_1,AOI_DJFM,AOI_1
1997,210,160,160,290,147,180,130,110,290,4.7,8.6,3.6,7.3,-0.275,-1.825,0.2,-1.16
1998,210,170,180,280,158,160,100,130,290,3.560036,10.5,4.7,8.6,0,-0.275,-0.65,0.2
1999,190,170,180,300,146,180,120,100,280,2.6,7.7,3.560036,10.5,1.35,0,0.11,-0.65
2000,200,150,160,300,127,180,140,120,300,4.7,10.4,2.6,7.7,1.325,1.35,0.73,0.11
2001,200,160,170,240,154,160,124.48141,140,300,2.9,6.7,4.7,10.4,-1.075,1.325,-1.41,0.73
2002,190,160,170,290,153,170,120,124.54207,240,4.1,8.2,2.9,6.7,-0.25,-1.075,0.57,-1.41
2003,220,150,170,300,134,170,130,120,290,4.1,10.2,4.1,8.2,-0.075,-0.25,-0.25,0.57
2004,220,160,180,300,137,170,120,130,300,2.8,10.3,4.1,10.2,-0.2,-0.075,-0.66,-0.25
2005,210,170,170,270,138,180,100,120,300,3.608915,9.7,2.8,10.3,0,-0.2,-0.26,-0.66
2006,250,150,170,300,130,170,130,100,270,4.3,9.2,3.608915,9.7,-0.55,0,-1.01,-0.26
2007,220,150,160,300,115,170,140,130,300,4.7,10.2,4.3,9.2,1.525,-0.55,1.05,-1.01
2008,190,160,170,260,148,160,90,140,300,3.7,6.9,4.7,10.2,1.075,1.525,0.79,1.05
2009,230,160,170,280,132,170,110,90,260,3.9,8.4,3.7,6.9,0.725,1.075,0.22,0.79
2010,230,150,180,290,135,170,110,110,280,3.8,8.4,3.9,8.4,-2.85,0.725,-2.67,0.22
2011,240,150,160,300,123,180,150,110,290,5.1,12.6,3.8,8.4,-1.15,-2.85,-0.33,-2.67
2012,230,140,160,290,130,160,140,150,300,5.6,10,5.1,12.6,1.85,-1.15,0.75,-0.33
2013,200,150,160,290,126,160,140,140,290,6.4,10.1,5.6,10,-0.95,1.85,-1.64,0.75
2014,210,150,160,290,128,160,140,140,290,6.3,10.7,6.4,10.1,2.3,-0.95,0.44,-1.64
2015,220,140,160,280,123,160,130,140,290,6.090154,9.5,6.3,10.7,2.975,2.3,1.1,0.44
2016,200,140,140,290,124,160,150,130,280,6,11.2,6.090154,9.5,1.15,2.975,0.06,1.1
2017,220,160,170,310,94,140,140,150,290,3.6,9.4,6,11.2,0.8,1.15,1.11,0.06
2018,220,140,150,290,115.8229,170,140,140,310,4.9,11,3.6,9.4,0.775,0.8,-0.29,1.11
