North,East,South,West,Average,Site
0.729415369,0.606361323,64.41717349,42.44786527,27.05020387,50km
1.473003209,3.647310705,9.847312648,9.450725633,6.104588049,Anis
0.752149672,4.682060043,12.18638078,5.238352587,5.71473577,Bar
0.746127296,8.024762844,0.100353336,0.260300941,2.282886104,BBS
5.024150331,30.27929223,4.701295454,0.81411934,10.20471434,Belexp
0.001778428,2.958915302,13.30956435,2.383629885,4.663471992,Ber
3.647234576,0.083746413,19.93081826,12.12741033,8.947302396,Bersakol
0.176569137,0.012515092,0.5066949,0.228838035,0.231154291,Bri
0.566947318,2.289921952,0.595289333,0.225658473,0.919454269,Cher1
0.050108218,2.161785935,0.18416965,0.417099317,0.70329078,Cher2
0.109523059,0.919723912,0.579157611,0.274572441,0.470744256,Cher3
0.400953109,2.452629556,0.45918092,0.370817215,0.9208952,Cher4
2.873824183,13.08429486,0.482668624,0.359538559,4.200081557,Chup1
0.383991488,2.369241582,1.272699275,0.102006575,1.03198473,Chup1_2017
6.300971459,0.308897808,0.145835136,0.406257241,1.790490411,Chup2
0.033486685,1.042429626,0.281110184,0.193176396,0.387550723,Chup2_2017
1.589763062,0.27434821,0.105029826,1.01751166,0.746663189,Chup3
0.037995626,2.453860896,1.894161701,0.199082597,1.146275205,Chup3_2017
1.771043791,7.564982902,1.538214909,3.578811594,3.613263299,Chup4
0.002827831,0.444886872,1.820587221,0.278368423,0.636667587,Chup4_2018
1.987538206,1.037874982,0.674068584,2.063238878,1.440680162,Chup5_2018
2.338131955,0.932029373,0.197929777,1.471159301,1.234812602,Chup6_2018
0.206953206,2.341013141,1.078174419,0.258935567,0.971269083,chupa_fg
3.626765919,0.009057733,0.197628521,5.880475416,2.428481897,Dem
0.588838493,3.966192103,0.095691874,0.273665137,1.231096902,ExPOJ
0.381601121,0.342995539,6.566464079,0.052749933,1.835952668,ExpOlodUmb
0.208399237,0.328948982,0.601725661,12.44647479,3.396387167,ExpSOSN
4.310540913,0.25936945,0.103337538,0.585959177,1.314801769,Gridexp
0.198867717,0.268021856,0.030356691,0.135424073,0.158167584,Gridshel
7.505217567,8.192731479,3.676820131,6.193747911,6.392129272,Ir
0.062850151,0.575132943,7.028693041,1.484717637,2.287848443,kanal
0.045309334,0.500922625,13.48158926,4.126023461,4.53846117,Kand
