Year,Station,Taxa,B,N
1987,St3,Scoloplos armiger,1.97,610
1987,St3,Spionidae,0.01,20
1987,St3,Terebellides stroemi,3.23,620
1987,St3,Tridonta borealis,71.7,10
1987,St4,Aricidea nolani,2.04,2050
1987,St4,Ciliatocardium ciliatum,10,10
1987,St4,Diastylis glabra,0.15,20
1987,St4,Diplocirrus longisetosus,0.21,70
1987,St4,Epheria vincta,0.27,20
1987,St4,Eteone longa,0.02,10
1987,St4,Harmothoe imbricata,0.02,10
1987,St4,Macoma calcarea,0.35,60
1987,St4,Micronephthys minuta,7.35,1490
1987,St4,Mya sp.,1.76,20
1987,St4,Mytilus edulis,0.05,20
1987,St4,Scoloplos armiger,3.65,620
1987,St4,Serripes groenlandicus,2.12,30
1987,St4,Spionidae,0.01,10
1987,St4,Terebellides stroemi,6.58,680
1987,St5,Ampelisca macrocephala,0.51,10
1987,St5,Anonyx nugax,1.03,10
1987,St5,Aricidea nolani,1.9,1590
1987,St5,Balanus crenatus,3.67,10
1987,St5,Castalia punctata,0.07,10
1987,St5,Diaphana minuta,0.17,20
1987,St5,Diastylis glabra,0.17,20
1987,St5,Epheria vincta,0.09,10
1987,St5,Eteone longa,0.02,10
1987,St5,Harmothoe imbricata,1.47,50
1987,St5,Lumbriconereis fragilis,3.3,10
1987,St5,Macoma balthica,0.38,40
1987,St5,Micronephthys minuta,6.35,1190
1987,St5,Monoculodes sp.,0.1,40
1987,St5,Musculus sp.,11.4,10
1987,St5,Mytilus edulis,1390,120
1987,St5,Opistobranchia,0.05,30
1987,St5,Pholoe minuta,0.09,20
1987,St5,Saccoglossus mereschkowskii,0.04,10
1987,St5,Scoloplos armiger,6.84,1070
1987,St5,Spionidae,0.01,10
1987,St5,Terebellides stroemi,9.37,850
1987,St5,Tridonta borealis,73.8,10
1987,St6,Aricidea nolani,1.35,940
1987,St6,Diastylis glabra,2.24,90
1987,St6,Diastylis sulcata,0.05,20
1987,St6,Diplocirrus longisetosus,0.35,30
1987,St6,Eteone longa,0.01,10
1987,St6,Harmothoe imbricata,0.66,20
1987,St6,Macoma calcarea,0.63,50
1987,St6,Micronephthys minuta,5.06,1470
1987,St6,Mytilus edulis,6.5,10
1987,St6,Nereis sp.,9.47,10
1987,St6,Opistobranchia,0.05,60
1987,St6,Saccoglossus mereschkowskii,0.55,20
1987,St6,Scoloplos armiger,2.87,1060
1987,St6,Serripes groenlandicus,1.6,10
1987,St6,Spionidae,0.02,20
1987,St6,Terebellides stroemi,9.87,600
1987,St6,Tridonta borealis,341,50
1987,St7,Aricidea nolani,3.39,1180
1987,St7,Diastylis glabra,0.55,40
1987,St7,Diastylis scorpioides,0.1,10
1987,St7,Diastylis sulcata,0.06,20
1987,St7,Diplocirrus longisetosus,0.2,20
1987,St7,Harmothoe imbricata,0.38,10
1987,St7,Macoma calcarea,0.51,50
1987,St7,Micronephthys minuta,5.4,1370
1987,St7,Nereis sp.,4.56,10
1987,St7,Opistobranchia,0.08,70
1987,St7,Pholoe minuta,0.06,10
1987,St7,Portlandia arctica,0.06,10
1987,St7,Priapulus caudatus,0.03,10
1987,St7,Scoloplos armiger,3.39,1250
1987,St7,Terebellides stroemi,3.02,590
1987,St7,Tridonta borealis,186,30
1987,St8,Aricidea nolani,1.47,1300
1987,St8,Capitella capitata,0.01,30
1987,St8,Diastylis glabra,0.39,30
1987,St8,Epheria vincta,0.01,10
1987,St8,Harmothoe imbricata,0.75,10
1987,St8,Micronephthys minuta,0.85,300
1987,St8,Mytilus edulis,502.3,150
1987,St8,Nemertini,0.07,10
1987,St8,Nereis sp.,4.56,20
1987,St8,Paroediceros lynceus,0.35,10
1987,St8,Scoloplos armiger,2.6,1040
1987,St8,Terebellides stroemi,0.01,30
1987,St8,Tridonta borealis,567,70
1987,St9,Ampelisca macrocephala,0.28,20
1987,St9,Anonyx nugax,1.97,10
1987,St9,Aricidea nolani,1.42,640
1987,St9,Diastylis glabra,0.59,40
1987,St9,Eteone longa,0.04,10
1987,St9,Harmothoe imbricata,0.58,30
1987,St9,Macoma balthica,0.66,40
1987,St9,Micronephthys minuta,4.62,810
1987,St9,Nemertini,1.2,10
1987,St9,Nereis sp.,3.68,10
1987,St9,Opistobranchia,0.03,10
1987,St9,Pholoe minuta,0.01,10
1987,St9,Scoloplos armiger,7.76,1880
1987,St9,Spionidae,0.04,30
