sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
REBL237,CBE,trossulus,Cobscook Bay Eastport,1.80E-05,0.999982,45.4,22.6,14.5,E
REBL239,CBE,trossulus,Cobscook Bay Eastport,1.70E-05,0.999983,54.4,24.7,0,T
REBL240,CBE,trossulus,Cobscook Bay Eastport,1.70E-05,0.999983,54.8,26.4,0,T
REBL241,CBE,trossulus,Cobscook Bay Eastport,2.70E-05,0.999973,53.3,23.7,0,T
REBL242,CBE,trossulus,Cobscook Bay Eastport,2.70E-05,0.999973,52.5,24.4,0,T
REBL243,CBE,trossulus,Cobscook Bay Eastport,1.90E-05,0.999981,48.2,25.2,0,T
REBL244,CBE,trossulus,Cobscook Bay Eastport,1.90E-05,0.999981,45.9,22.3,0.96,E
REBL245,CBE,trossulus,Cobscook Bay Eastport,2.80E-05,0.999972,63,28.9,28.9,E
REBL246,CBE,trossulus,Cobscook Bay Eastport,1.70E-05,0.999983,54,25.3,0,T
REBL247,CBE,trossulus,Cobscook Bay Eastport,6.70E-05,0.999933,42.5,20.4,0,T
REBL248,CBE,trossulus,Cobscook Bay Eastport,3.20E-05,0.999968,47.3,22.2,0,T
REBL249,CBE,trossulus,Cobscook Bay Eastport,2.80E-05,0.999972,51.5,24.8,0,T
REBL250,CBE,trossulus,Cobscook Bay Eastport,5.60E-05,0.999944,40.4,20.2,0.68,E
REBL251,CBE,trossulus,Cobscook Bay Eastport,2.70E-05,0.999973,49.1,23.8,0,T
REBL253,CBE,trossulus,Cobscook Bay Eastport,2.10E-05,0.999979,48,22.8,0,T
REBL255,CBE,trossulus,Cobscook Bay Eastport,3.00E-05,0.99997,48.5,22.6,0,T
REOR313,CBSL,trossulus,Cobscook Bay South Lubec,0.000203,0.999797,47.7,24.7,0,T
REOR319,CBSL,trossulus,Cobscook Bay South Lubec,5.00E-05,0.99995,52.5,26.3,0,T
REOR320,CBSL,trossulus,Cobscook Bay South Lubec,3.60E-05,0.999964,50.3,26.4,19.4,E
REOR322,CBSL,hybrid,Cobscook Bay South Lubec,0.579635,0.420365,58.1,30,0,T
REOR323,CBSL,edulis,Cobscook Bay South Lubec,0.999954,0.000046,59.2,32.3,24.6,E
REOR324,CBSL,edulis,Cobscook Bay South Lubec,0.999969,0.000031,63.3,36.2,36.2,E
REOR326,CBSL,edulis,Cobscook Bay South Lubec,0.999969,0.000031,56.2,29,20.8,E
REOR327,CBSL,trossulus,Cobscook Bay South Lubec,5.70E-05,0.999943,45.9,26.9,0,T
REOR328,CBSL,trossulus,Cobscook Bay South Lubec,4.20E-05,0.999958,36.8,30.9,20.6,E
REOR329,CBSL,trossulus,Cobscook Bay South Lubec,4.40E-05,0.999956,46.4,22.9,17.1,E
REOR330,CBSL,trossulus,Cobscook Bay South Lubec,4.70E-05,0.999953,49.6,26.3,0,T
REOR333,CBSL,edulis,Cobscook Bay South Lubec,0.999971,0.000029,51.9,27.7,27.7,E
REOR334,CBSL,trossulus,Cobscook Bay South Lubec,4.90E-05,0.999951,54.6,28.4,0,T
REOR336,CBSL,trossulus,Cobscook Bay South Lubec,5.70E-05,0.999943,57.1,27.4,0,T
REOR337,CBSL,edulis,Cobscook Bay South Lubec,0.999921,0.000079,56.1,28.9,28.9,E
REOR338,CBSL,edulis,Cobscook Bay South Lubec,0.999963,0.000037,55.2,27.6,17.8,E
REOR339,CBSL,trossulus,Cobscook Bay South Lubec,0.000103,0.999897,51.8,27.5,0,T
REOR340,CBSL,trossulus,Cobscook Bay South Lubec,3.90E-05,0.999961,60.7,26.9,0,T
REOR341,CBSL,trossulus,Cobscook Bay South Lubec,3.40E-05,0.999966,54.5,28.7,22.9,E
REOR342,CBSL,trossulus,Cobscook Bay South Lubec,3.40E-05,0.999966,66.9,36.2,27.3,E
REOR342,CBSL,trossulus,Cobscook Bay South Lubec,3.40E-05,0.999966,44.8,24.4,0,T
REOR344,CBSL,trossulus,Cobscook Bay South Lubec,5.80E-05,0.999942,45.4,23.9,0,T
REOR345,CBSL,edulis,Cobscook Bay South Lubec,0.999965,0.000035,59.9,28.8,20.4,E
REOR346,CBSL,edulis,Cobscook Bay South Lubec,0.999973,0.000027,53.9,26.2,23.6,E
REOR347,CBSL,trossulus,Cobscook Bay South Lubec,3.40E-05,0.999966,41.6,23.4,13,E
REOR348,CBSL,trossulus,Cobscook Bay South Lubec,4.30E-05,0.999957,45.9,23.5,0,T
REOR350,CBSL,trossulus,Cobscook Bay South Lubec,0.000107,0.999893,50.3,23.1,0,T
REOR352,CBSL,trossulus,Cobscook Bay South Lubec,9.10E-05,0.999909,46.9,24.1,13.5,E
REOR355,CBSL,edulis,Cobscook Bay South Lubec,0.999968,0.000032,43.7,20.1,20.1,E
REOR356,CBSL,edulis,Cobscook Bay South Lubec,0.999969,0.000031,64.4,32.9,32.9,E
REOR357,CBSL,edulis,Cobscook Bay South Lubec,0.999966,0.000034,55.9,29.5,23.7,E
REOR358,CBSL,trossulus,Cobscook Bay South Lubec,4.00E-05,0.99996,55.6,29.4,0,T
REOR360,CBSL,edulis,Cobscook Bay South Lubec,0.999971,0.000029,45.1,23.6,17.9,E
WH202,VH,edulis,Vinalhaven,0.999982,0.000018,NA,NA,NA,E
WH203,VH,edulis,Vinalhaven,0.999951,0.000049,56,32.2,32.2,E
WH204,VH,edulis,Vinalhaven,0.999979,0.000021,48.4,32.8,32.8,E
WH209,VH,edulis,Vinalhaven,0.999983,0.000017,NA,NA,NA,E
WH209,VH,edulis,Vinalhaven,0.999983,0.000017,63.3,38,36.1,E
WH210,VH,edulis,Vinalhaven,0.999982,0.000018,55.2,29.1,29.1,E
WH211,VH,edulis,Vinalhaven,0.999978,0.000022,51,25.2,25.2,E
WH213,VH,edulis,Vinalhaven,0.999965,0.000035,53.2,29.7,29.7,E
WH214,VH,edulis,Vinalhaven,0.999973,0.000027,66.2,35.6,31.4,E
WH215,VH,edulis,Vinalhaven,0.999951,0.000049,58.1,32,32.5,E
WH216,VH,edulis,Vinalhaven,0.99998,0.00002,50.4,26.7,24,E
WH218,VH,edulis,Vinalhaven,0.99998,0.00002,61.6,36.6,18.3,E
WH219,VH,edulis,Vinalhaven,0.999979,0.000021,56.9,29.2,29.2,E
WH220,VH,edulis,Vinalhaven,0.999981,0.000019,61.3,34.8,28.6,E
WH221,VH,edulis,Vinalhaven,0.999979,0.000021,62.8,34.1,34.1,E
WH231,VH,edulis,Vinalhaven,0.999982,0.000018,54.9,30.8,30.8,E
WH233,VH,edulis,Vinalhaven,0.999978,0.000022,NA,NA,NA,E
WH234,VH,edulis,Vinalhaven,0.999984,0.000016,36.2,32.8,32.8,E
WH234,VH,edulis,Vinalhaven,0.999984,0.000016,63.3,32.4,26.9,E
WH240,VH,edulis,Vinalhaven,0.999982,0.000018,NA,NA,NA,E
WH240,VH,edulis,Vinalhaven,0.999982,0.000018,NA,NA,NA,E
WH243,VH,edulis,Vinalhaven,0.999984,0.000016,57.9,33.1,31.4,E
WH244,VH,edulis,Vinalhaven,0.999981,0.000019,58.7,32.8,32.8,E
WH245,VH,edulis,Vinalhaven,0.999961,0.000039,52.7,27.2,27.2,E
WH246,VH,edulis,Vinalhaven,0.999974,0.000026,NA,NA,NA,E
WH247,VH,edulis,Vinalhaven,0.999982,0.000018,62,33.1,33.1,E
WH248,VH,edulis,Vinalhaven,0.99998,0.00002,53.4,32,32,E
WH249,VH,edulis,Vinalhaven,0.999984,0.000016,NA,NA,NA,E
WH250,VH,edulis,Vinalhaven,0.999978,0.000022,NA,NA,NA,E
WH251,VH,edulis,Vinalhaven,0.999978,0.000022,52.1,24.5,22.5,E
WH252,VH,edulis,Vinalhaven,0.999983,0.000017,67.7,35.4,35.4,E
WH253,VH,edulis,Vinalhaven,0.99995,0.00005,54.9,30.7,30.7,E
WH255,VH,edulis,Vinalhaven,0.999825,0.000175,57.1,27.8,27.8,E
WH256,VH,edulis,Vinalhaven,0.999967,0.000033,64.7,35.5,34.1,E
WH257,VH,edulis,Vinalhaven,0.999977,0.000023,57.1,33.1,33.1,E
WH259,VH,edulis,Vinalhaven,0.999977,0.000023,58.7,32.3,26.8,E
WH261,VH,edulis,Vinalhaven,0.999973,0.000027,58.8,29.4,24.7,E
WH262,VH,edulis,Vinalhaven,0.999983,0.000017,NA,NA,NA,E
WH263,VH,edulis,Vinalhaven,0.99997,0.00003,NA,NA,NA,E
WH264,VH,edulis,Vinalhaven,0.99998,0.00002,51.5,33.7,33.7,E
WH265,VH,edulis,Vinalhaven,0.999974,0.000026,62.4,33.7,33.7,E
WH267,VH,edulis,Vinalhaven,0.999979,0.000021,59.7,32.6,32.6,E
WH268,VH,edulis,Vinalhaven,0.999942,0.000058,56,27.9,27.9,E
WH281,VH,edulis,Vinalhaven,0.999955,0.000045,NA,NA,NA,E
WH283,VH,edulis,Vinalhaven,0.999882,0.000118,56.7,32.4,32.4,E
WH284,VH,edulis,Vinalhaven,0.999978,0.000022,54.9,29.8,29.8,E
WH285,VH,edulis,Vinalhaven,0.99997,0.00003,53.9,29.3,29.3,E
WH286,VH,edulis,Vinalhaven,0.999983,0.000017,64.2,35,29.4,E
WH287,VH,edulis,Vinalhaven,0.999982,0.000018,61.6,65.3,33.2,E
WH287,VH,edulis,Vinalhaven,0.999982,0.000018,22.5,12.5,9.2,E
WH289,VH,edulis,Vinalhaven,0.999981,0.000019,56.9,30,30,E
WH290,VH,edulis,Vinalhaven,0.999979,0.000021,67.8,38.7,36.5,E
WH293,VH,edulis,Vinalhaven,0.999981,0.000019,61.3,30.9,30.9,E
WH294,VH,edulis,Vinalhaven,0.999944,0.000056,53.5,27.5,27.4,E
WH295,VH,edulis,Vinalhaven,0.999976,0.000024,58.4,31.2,27.9,E
WH296,VH,edulis,Vinalhaven,0.999945,0.000055,65.2,37.2,29.6,E
WH297,VH,edulis,Vinalhaven,0.999977,0.000023,55.4,34.5,34.5,E
WH298,VH,edulis,Vinalhaven,0.999965,0.000035,55,27.4,27.4,E
WHOR265,MDRW,edulis,Mount Desert Rock West,0.999972,0.000028,40.4,22,16.2,E
WHOR266,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023,42.9,25.3,21,E
WHOR267,MDRW,edulis,Mount Desert Rock West,0.999971,0.000029,36.5,20.6,15.5,E
WHOR272,MDRW,edulis,Mount Desert Rock West,0.999937,0.000063,32.1,17.5,17.5,E
WHOR273,MDRW,edulis,Mount Desert Rock West,0.999952,0.000048,36.4,19.5,16.5,E
WHOR274,MDRW,edulis,Mount Desert Rock West,0.999954,0.000046,37.1,22.4,21,E
WHOR275,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023,36.1,21.4,18.8,E
WHOR276,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023,37.9,22.9,17.5,E
WHOR277,MDRW,edulis,Mount Desert Rock West,0.999978,0.000022,35.9,22.9,22.9,E
WHOR278,MDRW,edulis,Mount Desert Rock West,0.999971,0.000029,33.2,19.3,15.8,E
WHOR279,MDRW,trossulus,Mount Desert Rock West,5.40E-05,0.999946,29.6,17,0,T
WHOR281,MDRW,trossulus,Mount Desert Rock West,5.40E-05,0.999946,26.3,17.9,11.5,E
WHOR282,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023,24.1,14.2,14.2,E
WHOR283,MDRW,edulis,Mount Desert Rock West,0.999977,0.000023,22.5,13.8,0,T
WHOR284,MDRW,edulis,Mount Desert Rock West,0.999913,0.000087,21.9,11.5,8.1,E
WHOR285,MDRW,edulis,Mount Desert Rock West,0.999976,0.000024,21.1,12.7,11.8,E
WHOR286,MDRW,trossulus,Mount Desert Rock West,5.80E-05,0.999942,20,11.1,0,T
WHOR288,MDRW,edulis,Mount Desert Rock West,0.999852,0.000148,21.8,11.9,10.7,E
WHOR289,MDRW,edulis,Mount Desert Rock West,0.999815,0.000185,18.3,11.1,7.5,E
WHOR291,MDRW,edulis,Mount Desert Rock West,0.999908,0.000092,23.2,13.1,10,E
WHOR292,MDRW,trossulus,Mount Desert Rock West,7.70E-05,0.999923,19.9,12,0,T
WHOR295,MDRW,edulis,Mount Desert Rock West,0.99997,0.00003,24.7,12.5,10.1,E
YE201,VH,edulis,Vinalhaven,0.999962,0.000038,NA,NA,NA,E
YE202,VH,edulis,Vinalhaven,0.999976,0.000024,NA,NA,NA,E
YE203,VH,edulis,Vinalhaven,0.999977,0.000023,NA,NA,NA,E
YE204,VH,edulis,Vinalhaven,0.999969,0.000031,NA,NA,NA,E
YE205,VH,edulis,Vinalhaven,0.999981,0.000019,NA,NA,NA,E
YE206,VH,edulis,Vinalhaven,0.999982,0.000018,NA,NA,NA,E
YE207,VH,edulis,Vinalhaven,0.999948,0.000052,NA,NA,NA,E
YE208,VH,edulis,Vinalhaven,0.999881,0.000119,NA,NA,NA,E
YE209,VH,edulis,Vinalhaven,0.999956,0.000044,NA,NA,NA,E
YE211,VH,edulis,Vinalhaven,0.999977,0.000023,NA,NA,NA,E
YE212,VH,edulis,Vinalhaven,0.999894,0.000106,NA,NA,NA,E
YE213,VH,edulis,Vinalhaven,0.999972,0.000028,NA,NA,NA,E
YE214,VH,edulis,Vinalhaven,0.999916,0.000084,NA,NA,NA,E
YE216,VH,edulis,Vinalhaven,0.999978,0.000022,NA,NA,NA,E
YE217,VH,edulis,Vinalhaven,0.999939,0.000061,NA,NA,NA,E
YE218,VH,edulis,Vinalhaven,0.999882,0.000118,NA,NA,NA,E
YE219,VH,edulis,Vinalhaven,0.999946,0.000054,NA,NA,NA,E
