sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
GROR313,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999983,0.000017,57.4,38.9,37.9,E
GROR314,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,74.9,44.5,44.5,E
GROR315,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,77.2,47.2,42.2,E
GROR316,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999983,0.000017,68.9,43.6,37.6,E
GROR317,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,62.8,33,27.3,E
GROR318,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999984,0.000016,64.9,36.6,27.4,E
GROR319,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999984,0.000016,75.9,41.2,36.6,E
GROR320,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999975,0.000025,76.6,46.1,42.4,E
GROR321,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,68.4,50.3,43.1,E
GROR322,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,65.9,39.5,32.1,E
GROR323,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,69.4,41.5,33.5,E
GROR324,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999978,0.000022,NA,NA,NA,E
GROR325,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.99998,0.00002,NA,NA,NA,E
GROR326,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,74.2,44.3,37.9,E
GROR327,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999984,0.000016,70,39,39,E
GROR329,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.99998,0.00002,69.2,46.2,40.6,E
GROR330,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999979,0.000021,74.8,41.9,41.9,E
GROR331,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999982,0.000018,67.5,40.6,38.1,E
GROR333,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999984,0.000016,49.8,30.9,21.7,E
GROR334,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999984,0.000016,61.6,35.5,35.5,E
GROR335,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999986,0.000014,77.6,43.4,34.8,E
GROR336,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999984,0.000016,66.2,39.5,37.3,E
GROR337,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999979,0.000021,NA,NA,NA,E
GROR338,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999986,0.000014,NA,NA,NA,E
GROR339,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.99996,0.00004,43.5,20.9,0,T
GROR342,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999986,0.000014,71.4,40.2,36.3,E
GROR343,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999986,0.000014,70.9,43.9,43.9,E
GROR344,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999981,0.000019,73,42.9,42.9,E
GROR345,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,71.9,45.7,41.8,E
GROR346,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,71.4,39.7,33,E
