sample_ID,pop_ID,species,location,edulis,trossulus
GRYE336,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE338,JPC,edulis,Jonesport Central,0.999981,0.000019
GRYE339,JPC,edulis,Jonesport Central,0.999987,0.000013
GRYE340,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE341,JPC,edulis,Jonesport Central,0.999983,0.000017
GRYE342,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE343,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE344,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE345,JPC,edulis,Jonesport Central,0.999983,0.000017
GRYE346,JPC,edulis,Jonesport Central,0.999988,0.000012
GRYE347,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE348,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE350,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE352,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE354,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE355,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE356,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE357,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE358,JPC,edulis,Jonesport Central,0.999977,0.000023
GRYE359,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE360,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE361,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE362,JPC,edulis,Jonesport Central,0.999966,0.000034
GRYE363,JPC,edulis,Jonesport Central,0.999979,0.000021
GRYE364,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE365,JPC,edulis,Jonesport Central,0.999976,0.000024
GRYE367,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE368,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE369,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE370,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE371,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE372,JPC,edulis,Jonesport Central,0.999983,0.000017
GRYE373,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE374,JPC,edulis,Jonesport Central,0.999987,0.000013
GRYE375,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE376,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE377,JPC,edulis,Jonesport Central,0.999979,0.000021
GRYE378,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE379,JPC,edulis,Jonesport Central,0.999983,0.000017
GRYE380,JPC,edulis,Jonesport Central,0.999981,0.000019
GRYE381,JPC,edulis,Jonesport Central,0.999984,0.000016
GRYE382,JPC,edulis,Jonesport Central,0.999989,0.000011
GRYE384,JPC,edulis,Jonesport Central,0.999982,0.000018
GRYE385,JPC,edulis,Jonesport Central,0.999985,0.000015
GRYE386,JPC,edulis,Jonesport Central,0.99998,0.00002
GRYE387,JPC,edulis,Jonesport Central,0.999981,0.000019
GRYE388,JPC,edulis,Jonesport Central,0.999978,0.000022
GRYE389,JPC,edulis,Jonesport Central,0.999986,0.000014
GRYE390,JPC,edulis,Jonesport Central,0.999985,0.000015
GYO338,KIM,edulis,Kent Island Mooring,0.999984,0.000016
GYO340,KIM,edulis,Kent Island Mooring,0.999979,0.000021
GYO341,KIM,edulis,Kent Island Mooring,0.999986,0.000014
GYO368,KIM,edulis,Kent Island Mooring,0.999986,0.000014
GYO369,KIM,edulis,Kent Island Mooring,0.999987,0.000013
GYO370,KIM,edulis,Kent Island Mooring,0.999987,0.000013
GYO371,KIM,edulis,Kent Island Mooring,0.999984,0.000016
GYO372,KIM,edulis,Kent Island Mooring,0.999981,0.000019
GYO373,KIM,hybrid,Kent Island Mooring,0.787873,0.212127
GYO374,KIM,edulis,Kent Island Mooring,0.99998,0.00002
GYO375,KIM,edulis,Kent Island Mooring,0.999983,0.000017
