population;site;sample_type;substrate;L;z;structure;species;hybride_score
vor1;Voronya;unsystematic;any;19.6;0;0.115;hybrid;2
vor1;Voronya;unsystematic;any;21.2;0.65;0.042;edulis;1
vor1;Voronya;unsystematic;any;28.7;0.305343511;0.011;edulis;0
vor1;Voronya;unsystematic;any;18.2;0.505747126;0.163;hybrid;2
vor1;Voronya;unsystematic;any;27.5;0.504132231;0.534;hybrid;4
vor1;Voronya;unsystematic;any;27.2;0.625;0.011;edulis;0
vor1;Voronya;unsystematic;any;34.7;0.823529412;0.287;hybrid;3
vor1;Voronya;unsystematic;any;29.9;0.662251656;0.011;edulis;0
vor1;Voronya;unsystematic;any;15;0.656716418;0.113;hybrid;2
vor1;Voronya;unsystematic;any;35.1;0.687898089;0.011;edulis;0
vor1;Voronya;unsystematic;any;21.8;0.657142857;0.041;edulis;1
vor1;Voronya;unsystematic;any;25;0.713043478;0.011;edulis;0
vor2;Voronya;unsystematic;any;15.2;1.031746032;0.23;hybrid;3
vor2;Voronya;unsystematic;any;25.2;0.743589744;0.013;edulis;1
vor2;Voronya;unsystematic;any;34.5;1;0.365;hybrid;3
vor2;Voronya;unsystematic;any;26.8;0.737704918;0.011;edulis;0
vor2;Voronya;unsystematic;any;36.8;0.641176471;0.013;edulis;1
vor2;Voronya;unsystematic;any;21;0.651685393;0.047;edulis;1
vor2;Voronya;unsystematic;any;27.7;0.873134328;0.011;edulis;0
vor2;Voronya;unsystematic;any;33;0.832214765;0.013;edulis;1
vor2;Voronya;unsystematic;any;28.7;0.921875;0.161;hybrid;2
vor2;Voronya;unsystematic;any;26.8;0.805084746;0.15;hybrid;2
vor2;Voronya;unsystematic;any;30.8;0.966666667;0.013;edulis;1
vor2;Voronya;unsystematic;any;15.4;0.615384615;0.352;hybrid;4
vor2;Voronya;unsystematic;any;32.3;1;0.263;hybrid;3
vor2;Voronya;unsystematic;any;31.9;0.814285714;0.014;edulis;1
vor2;Voronya;unsystematic;any;17.9;1.022222222;0.605;hybrid;5
vor2;Voronya;unsystematic;any;23.7;0.866666667;0.018;edulis;1
vor2;Voronya;unsystematic;any;21.2;0.845360825;0.011;edulis;0
vor2;Voronya;unsystematic;any;16;0.928571429;0.011;edulis;0
vor2;Voronya;unsystematic;any;23.1;0.93;0.018;edulis;2
vor2;Voronya;unsystematic;any;28.4;1;0.011;edulis;0
vor2;Voronya;unsystematic;any;21.6;0.714285714;0.011;edulis;0
vor2;Voronya;unsystematic;any;27.5;0.961538462;0.011;edulis;0
vor2;Voronya;unsystematic;any;11.2;0.86;0.835;hybrid;6
vor2;Voronya;unsystematic;any;24;0.9375;0.011;edulis;0
vor2;Voronya;unsystematic;any;27;1;0.01;edulis;0
vor2;Voronya;unsystematic;any;25;0.619469027;0.046;edulis;1
vor2;Voronya;unsystematic;any;18.5;0.777777778;0.06;edulis;2
vor2;Voronya;unsystematic;any;19.6;0.902777778;0.087;hybrid;1
vor2;Voronya;unsystematic;any;24.3;1;0.011;edulis;0
vor2;Voronya;unsystematic;any;16.3;0.757575758;0.014;edulis;1
vor2;Voronya;unsystematic;any;23.1;0.660377358;0.011;edulis;0
vor2;Voronya;unsystematic;any;18.1;0.476190476;0.042;edulis;1
vor2;Voronya;unsystematic;any;33.8;0.889570552;0.011;edulis;0
vor2;Voronya;unsystematic;any;29.3;1;0.01;edulis;0
vor2;Voronya;unsystematic;any;22.1;0.7;0.046;edulis;1
vor2;Voronya;unsystematic;any;11;0.847826087;0.013;edulis;1
vor2;Voronya;unsystematic;any;27;0.803571429;0.014;edulis;1
vor2;Voronya;unsystematic;any;29.2;1;0.01;edulis;0
vor2;Voronya;unsystematic;any;24.4;0.983606557;0.011;edulis;0
vor5;Voronya;unsystematic;any;12.8;1;0.056;edulis;1
vor5;Voronya;unsystematic;any;13.1;0.737704918;0.013;edulis;1
vor5;Voronya;unsystematic;any;13.3;0.694915254;0.011;edulis;0
vor5;Voronya;unsystematic;any;14.1;0.819672131;0.011;edulis;0
vor5;Voronya;unsystematic;any;15.3;0.652173913;0.011;edulis;0
vor5;Voronya;unsystematic;any;16.4;0.846153846;0.042;edulis;1
vor5;Voronya;unsystematic;any;18.1;0.772151899;0.011;edulis;0
vor5;Voronya;unsystematic;any;20.3;0.786516854;0.049;edulis;1
vor5;Voronya;unsystematic;any;22;0.673076923;0.014;edulis;1
vor5;Voronya;unsystematic;any;19.2;0;0.975;trossulus;7
vor5;Voronya;unsystematic;any;20.9;0.628571429;0.041;edulis;1
vor5;Voronya;unsystematic;any;21.2;0.913461538;0.011;edulis;0
vor5;Voronya;unsystematic;any;21.3;0.95;0.197;hybrid;1
vor5;Voronya;unsystematic;any;22.9;1;0.011;edulis;0
vor5;Voronya;unsystematic;any;21.9;1;0.23;hybrid;3
vor5;Voronya;unsystematic;any;25.9;0;0.983;trossulus;7
vor5;Voronya;unsystematic;any;30.1;0.857142857;0.012;edulis;0
vor5;Voronya;unsystematic;any;32.4;1;0.011;edulis;0
