sample_ID,L,l,a,MorphotypE
RE090,49.7,28.7,19.6,E
RE063,46.5,22.7,15.5,E
RE070,55.9,25.4,25.4,E
RE067,37,18.7,0,T
RE078,47.5,21.2,0,T
RE080,42.3,21.4,21.4,E
RE064,44.5,22.1,0,T
RE084,52.4,23.9,20.7,E
RE061,50.4,22.7,22.7,E
RE071,32.9,15.4,15.4,E
OR272,32.4,16.3,10.9,E
OR265,31.8,18.7,0,T
OR283,44.8,25.7,13.5,E
OR263,37.1,21,13.5,E
OR271,36.3,20.3,17.5,E
OR253,40.9,26.7,14.2,E
OR264,34.9,19.3,17.5,E
OR258,29.6,15.6,6.9,E
OR256,37.9,19.6,19.6,E
OR280,30,19.7,14.2,E
OR281,43.7,28.1,0,T
OR274,37.1,22.8,0,T
OR273,35.9,19.4,16,E
OR254,34.9,21.2,19.9,E
OR275,27.5,17.9,12.3,E
OR257,33.3,16,14.5,E
OR244,37.9,18.8,0,T
OR261,35.6,20.3,13.6,E
OR260,41.6,21.9,0,T
OR282,29.4,18.5,0,T
OR278,42.6,21.2,19.2,E
OR277,37.4,22.4,16.2,E
OR255,29.6,15.6,10.5,E
OR269,31.9,19.3,8.9,E
OR085,39.1,21.3,15.9,E
OR061,36.3,19.3,14.5,E
OR065,36.8,19.9,12.5,E
OR070,35.7,16.9,12.5,E
OR080,48.4,21.4,16.3,E
OR079,36.7,19.6,0,T
OR078,36.8,20.6,14.5,E
OR063,44.9,24,14.2,E
OR084,33.5,17.9,14.7,E
OR073,39,20.9,14.6,E
OR081,36.8,19.1,15.8,E
OR087,40.5,21.5,17.4,E
OR062,38.1,20.7,10.3,E
OR072,39.3,21,12.7,E
OR089,36.9,19.7,16,E
OR060,40.2,19.4,15.9,E
OR068,36.5,19.3,19.3,E
OR066,40,21.9,21.9,E
OR064,36.4,18.6,16.9,E
OR069,38.6,21.2,21.2,E
OR077,39.2,21.1,6.8,E
OR083,38.8,19.9,19.4,E
OR082,41.4,21.6,17.1,E
REOR328,36.8,30.9,20.6,E
REOR342,44.8,24.4,0,T
REOR348,45.9,23.5,0,T
REOR329,46.4,22.9,17.1,E
REOR339,51.8,27.5,0,T
REOR346,53.9,26.2,23.6,E
REOR330,49.6,26.3,0,T
REOR347,41.6,23.4,13,E
REOR340,60.7,26.9,0,T
REOR356,64.4,32.9,32.9,E
REOR360,45.1,23.6,17.9,E
REOR326,56.2,29,20.8,E
REOR334,54.6,28.4,0,T
REOR313,47.7,24.7,0,T
REOR327,45.9,26.9,0,T
REOR322,58.1,30,0,T
REOR323,59.2,32.3,24.6,E
REOR324,63.3,36.2,36.2,E
REOR336,57.1,27.4,0,T
REOR341,54.5,28.7,22.9,E
REOR352,46.9,24.1,13.5,E
REOR357,55.9,29.5,23.7,E
REOR320,50.3,26.4,19.4,E
REOR344,45.4,23.9,0,T
REOR345,59.9,28.8,20.4,E
REOR342,66.9,36.2,27.3,E
REOR333,51.9,27.7,27.7,E
REOR358,55.6,29.4,0,T
REOR355,43.7,20.1,20.1,E
REOR319,52.5,26.3,0,T
REOR337,56.1,28.9,28.9,E
REOR338,55.2,27.6,17.8,E
REOR350,50.3,23.1,0,T
WH216,50.4,26.7,24,E
WH251,52.1,24.5,22.5,E
WH296,65.2,37.2,29.6,E
WH342,54.9,32.4,32.4,E
WH209,63.3,38,36.1,E
WH295,58.4,31.2,27.9,E
