"Site";"Lat";"Lon";"Average_Fetch";"Sample";"Position";"Shore";"N_T";"N_E";"Salinity";"Shore_river";"River";"Drainage_Area";"River_Size";"Lat_river";"Lon_river";"Min_dist_river";"Shore_river_Large";"River_Large";"Drainage_Area_Large";"Lat_river_Large";"Lon_river_Large";"Min_dist_river_Large";"Shore_port";"Port";"Port_Status";"Lat_port";"Lon_port";"Min_dist_port";"North_Fetch";"East_Fetch";"South_Fetch";"West_Fetch";"Site_Exposition";"Dist_cut";"Prop_T";"Lat2";"Lon2";"Fetch"
"50km";66,4949;35,15996667;27,05;"50km_1";"Algae";"Kand";4;31;27;"Kand";"Olenitsa";"403";"Large";66,452763;35,300598;7,8048370939416;"Kand";"Olenitsa";"403";66,452763;35,300598;7,8048370939416;"Kand";"Umba";"Abandoned";66,67797;34,357655;40,8786220248193;0,729;0,606;64,417;42,448;"Exposed";144,251472959639;0,114285714285714;66,4949;35,15996667;35,8138581401203
"50km";66,4949;35,15996667;27,05;"50km_2";"Bottom";"Kand";3;106;27;"Kand";"Olenitsa";"403";"Large";66,452763;35,300598;7,8048370939416;"Kand";"Olenitsa";"403";66,452763;35,300598;7,8048370939416;"Kand";"Umba";"Abandoned";66,67797;34,357655;40,8786220248193;0,729;0,606;64,417;42,448;"Exposed";144,251472959639;0,0275229357798165;66,49490001;35,15996668;35,8138581401203
"50km";66,4949;35,15996667;27,05;"50km_3";"Algae";"Kand";0;36;27;"Kand";"Olenitsa";"403";"Large";66,452763;35,300598;7,8048370939416;"Kand";"Olenitsa";"403";66,452763;35,300598;7,8048370939416;"Kand";"Umba";"Abandoned";66,67797;34,357655;40,8786220248193;0,729;0,606;64,417;42,448;"Exposed";144,251472959639;0;66,49490002;35,15996669;35,8138581401203
"50km";66,4949;35,15996667;27,05;"50km_4";"Bottom";"Kand";0;120;27;"Kand";"Olenitsa";"403";"Large";66,452763;35,300598;7,8048370939416;"Kand";"Olenitsa";"403";66,452763;35,300598;7,8048370939416;"Kand";"Umba";"Abandoned";66,67797;34,357655;40,8786220248193;0,729;0,606;64,417;42,448;"Exposed";144,251472959639;0;66,49490003;35,1599667;35,8138581401203
"50km";66,4949;35,15996667;27,05;"50km_5";"Algae";"Kand";1;9;27;"Kand";"Olenitsa";"403";"Large";66,452763;35,300598;7,8048370939416;"Kand";"Olenitsa";"403";66,452763;35,300598;7,8048370939416;"Kand";"Umba";"Abandoned";66,67797;34,357655;40,8786220248193;0,729;0,606;64,417;42,448;"Exposed";144,251472959639;0,1;66,49490004;35,15996671;35,8138581401203
"50km";66,4949;35,15996667;27,05;"50km_6";"Bottom";"Kand";0;87;27;"Kand";"Olenitsa";"403";"Large";66,452763;35,300598;7,8048370939416;"Kand";"Olenitsa";"403";66,452763;35,300598;7,8048370939416;"Kand";"Umba";"Abandoned";66,67797;34,357655;40,8786220248193;0,729;0,606;64,417;42,448;"Exposed";144,251472959639;0;66,49490005;35,15996672;35,8138581401203
"Anis";67,067413;32,565671;6,105;"Anis1";"Algae";"Karel";26;154;16;"Kand";"Luvenga";"175";"Small";67,100373;32,693133;6,62487354446738;"Kand";"Niva";"12800";67,130271;32,418253;9,46271421476713;"Karel";"Vitino";"Active";67,07657;32,33363;10,1031424966334;1,473;3,647;9,847;9,451;"Sheltered";14,6026660625711;0,144444444444444;67,067413;32,565671;2,80796922302163
"Anis";67,067413;32,565671;6,105;"Anis2";"Bottom";"Karel";2;71;16;"Kand";"Luvenga";"175";"Small";67,100373;32,693133;6,62487354446738;"Kand";"Niva";"12800";67,130271;32,418253;9,46271421476713;"Karel";"Vitino";"Active";67,07657;32,33363;10,1031424966334;1,473;3,647;9,847;9,451;"Sheltered";14,6026660625711;0,0273972602739726;67,06741301;32,56567101;2,80796922302163
"Anis";67,067413;32,565671;6,105;"Anis3";"Algae";"Karel";37;124;16;"Kand";"Luvenga";"175";"Small";67,100373;32,693133;6,62487354446738;"Kand";"Niva";"12800";67,130271;32,418253;9,46271421476713;"Karel";"Vitino";"Active";67,07657;32,33363;10,1031424966334;1,473;3,647;9,847;9,451;"Sheltered";14,6026660625711;0,229813664596273;67,06741302;32,56567102;2,80796922302163
"Anis";67,067413;32,565671;6,105;"Anis4";"Bottom";"Karel";0;30;16;"Kand";"Luvenga";"175";"Small";67,100373;32,693133;6,62487354446738;"Kand";"Niva";"12800";67,130271;32,418253;9,46271421476713;"Karel";"Vitino";"Active";67,07657;32,33363;10,1031424966334;1,473;3,647;9,847;9,451;"Sheltered";14,6026660625711;0;67,06741303;32,56567103;2,80796922302163
