Site;Salinity
Anis;16
Ber;17
Bersakol;21
Ir;17
Kibr1;25
Kibr2;24
Kolv1;17
Kolv2;19
Kolv3;2
Lud;19
Olen;21
Ryazh1;21
Ryazh2;19
Ryazh3;21
Ryazh4;22
Ryazh5;21
Ryazh6;20
Ryazh7;21
Ryazh8;20
Tel;12
Tel2;6
LomExp;16
KurtExp;16
Sedl2;16
LomShel;14
Kand;8
Bar;4
KibrExp;24
Knyazh;13
Val;17
VorShel;17
KibrShel;22
Rog;15
Zhemexp;21
Zhemshel;18
