Station,Long,Lat,Exclude,Org_Aug_20,Org_Sep_20
O1,73.131911,72.682573,0,0.23,0.001
O1-w,72.93212232,73.14446277,1,NA,NA
O2,73.423738,72.704582,0,0.21,0.31
O2-w,73.362039,72.956617,1,NA,NA
O3,73.716279,72.726168,0,0.36,0.23
O3-w,73.564140,72.859443,1,NA,NA
O4,74.009523,72.747330,0,0.32,0.25
O5,74.303458,72.768065,0,0.25,0.26
O5-w,74.356318,72.842620,1,NA,NA
O6,74.598071,72.788372,0,0.21,0.40
O6-w,73.142781,71.904935,1,NA,NA
O7,73.149569,72.338765,0,0.37,0.10
O7-W,72.880978,71.735161,1,NA,NA
O8,73.367186,72.343052,0,0.32,0.35
O8-W,72.678673,71.558120,1,NA,NA
O9,73.895398,72.345515,0,0.47,0.29
O10,74.166594,72.551117,0,0.19,0.11
O11,74.315919,72.551683,0,0.28,0.001
O12,74.465253,72.552138,0,0.20,0.26
O13,73.320650,71.648941,0,0.15,0.11
O14,74.320566,72.506899,0,0.26,0.24
O15,74.319315,72.600828,0,0.24,0.23
O16,73.948116,72.535338,0,0.22,0.18
O17,74.066731,72.508193,0,0.11,0.25
O18,74.184991,72.480978,0,0.23,0.19
O19,73.775542,72.470776,0,0.15,0.39
O20,73.893992,72.443734,0,0.34,0.25
O21,74.012090,72.416621,0,0.22,0.24
O22,73.498827,72.371132,0,0.27,0.12
O23,73.617038,72.344254,0,0.29,0.20
O24,73.734900,72.317305,0,0.42,0.23
O25,73.275411,72.282943,0,0.33,0.24
O26,73.393378,72.256198,0,0.28,0.001
O27,73.511001,72.229382,0,0.21,0.22
O28,73.055888,72.192623,0,0.15,0.29
O29,73.173592,72.166009,0,0.23,0.21
O30,73.290957,72.139325,0,0.32,0.001
O31,72.897508,72.343262,0,0.16,0.16
O32,74.261263,72.341536,0,0.21,0.21
O33,74.616880,72.336138,0,0.17,0.16
O34,73.806125,72.164500,0,0.19,0.10
O35,73.952303,72.165334,0,0.11,0.22
O36,74.098494,72.166060,0,0.13,0.12
O37,73.960859,72.217366,0,0.10,0.10
O38,73.957730,72.120558,0,0.25,0.21
O39,74.982093,72.339893,0,0.14,0.001
O40,72.635394,72.000367,0,0.26,0.22
O41,72.925202,72.001610,0,0.11,0.13
O42,73.215044,72.002263,0,0.23,0.001
O43,73.504883,72.001532,0,0.26,0.13
O44,73.794697,72.000369,0,0.21,0.10
O45,74.084484,72.001084,0,0.13,0.14
O46,74.374307,72.002230,0,0.11,0.21
O47,71.887290,71.480339,0,0.34,0.22
O48,72.205816,71.470926,0,0.001,0.29
O49,72.532969,71.461095,0,0.001,0.001
O50,72.797087,71.451289,0,0.001,0.001
O51,73.000891,71.441678,0,0.001,0.14
O52,72.214354,71.273305,0,0.10,0.22
O53,72.493231,71.276039,0,0.23,0.11
O54,72.770981,71.279497,0,0.10,0.17
O55,73.051536,71.282189,0,0.12,0.23
O56,73.329921,71.285317,0,0.001,0.11
O57,73.616972,71.167069,0,0.12,0.001
O58,72.582632,71.167523,0,0.34,0.21
O59,72.858139,71.170762,0,0.31,0.29
O60,73.140807,71.173356,0,0.42,0.31
O61,73.277870,71.174846,0,0.22,0.22
O62,73.414713,71.176411,0,0.31,0.17
O63,72.290567,71.678622,0,0.19,0.40
O64,72.529351,71.673345,0,0.33,0.32
O65,73.019574,71.656909,0,0.25,0.49
O66,72.691530,71.036846,0,0.10,0.001
O67,72.963489,71.039062,0,0.20,0.28
O68,73.239070,71.041278,0,0.22,0.10
O69,73.380310,71.042467,0,0.12,0.15
O70,73.517085,71.044449,0,0.28,0.26
O71,73.633106,71.045227,0,0.18,0.23
O72,73.383704,71.001205,0,0.20,0.26
O73,73.517858,71.000603,0,0.23,0.28
O74,73.752070,71.025528,0,0.21,0.23
O75,72.699718,70.947703,0,0.29,0.16
O76,72.973493,70.948978,0,0.24,0.33
O77,73.247763,70.951773,0,0.26,0.28
O78,73.387581,70.953837,0,0.11,0.40
O79,73.522105,70.954161,0,0.21,0.10
O80,73.642901,70.955083,0,0.22,0.14
O81,73.796509,70.956143,0,0.20,0.20
O82,73.871870,70.980412,0,0.001,0.10
O83,73.389959,70.912662,0,0.20,0.20
O84,73.524750,70.914399,0,0.23,0.16
O85,73.654312,70.916121,0,0.21,0.14
O86,73.797717,70.918509,0,0.001,0.001
O87,72.983271,70.860079,0,0.11,0.12
O88,73.259338,70.863301,0,0.22,0.12
O89,73.397454,70.864342,0,0.21,0.18
O90,73.528652,70.865235,0,0.11,0.14
O91,73.662411,70.866351,0,0.21,0.18
O92,73.802611,70.867205,0,0.13,0.001
O93,73.906789,70.853719,0,0.11,0.11
O94,72.592750,70.178847,0,0.25,0.12
O95,72.853796,70.171652,0,0.001,0.12
O96,73.119202,70.163769,0,0.20,0.26
O97,73.382152,70.155650,0,0.11,0.001
O98,73.642792,70.147215,0,0.001,0.25
O99,73.645267,71.006191,0,0.11,0.27
O100,73.649006,70.999456,0,0.12,0.19
O101,73.652962,70.994857,0,0.14,0.16
O102,73.715566,71.002651,0,0.21,0.12
O103,73.707140,70.997944,0,0.22,0.44
O104,73.701999,70.991053,0,0.36,0.10
O105,73.769815,71.001428,0,0.12,0.13
O106,73.767285,70.996478,0,0.14,0.18
O107,73.771149,70.989672,0,0.12,0.11
O108,73.790996,71.007519,0,0.25,0.001
O109,73.789625,71.003200,0,0.11,0.18
O110,73.809749,70.995619,0,0.13,0.001
O111,73.829094,70.988623,0,0.25,0.15
O112,73.835489,70.982717,0,0.37,0.11
