Date_Time;Object;Temperature
06.02.2023 13:24;Water;"6,3"
06.02.2023 13:29;Water;"6,3"
06.02.2023 13:34;Water;"6,3"
06.02.2023 13:39;Water;"6,3"
06.02.2023 13:44;Water;"6,3"
06.02.2023 13:49;Water;"6,3"
06.02.2023 13:54;Water;"6,3"
06.02.2023 13:59;Water;"6,3"
06.02.2023 14:04;Water;"6,2"
06.02.2023 14:09;Water;6
06.02.2023 14:14;Water;6
06.02.2023 14:19;Water;"5,9"
06.02.2023 14:24;Water;6
06.02.2023 14:29;Water;6
06.02.2023 14:34;Water;6
06.02.2023 14:39;Water;"6,1"
06.02.2023 14:44;Water;"6,1"
06.02.2023 14:49;Water;"6,1"
06.02.2023 14:54;Water;"6,1"
06.02.2023 14:59;Water;"6,3"
06.02.2023 15:04;Water;"6,3"
06.02.2023 15:09;Water;"6,3"
06.02.2023 15:14;Water;"6,4"
06.02.2023 15:19;Water;"6,5"
06.02.2023 15:24;Water;"6,5"
06.02.2023 15:29;Water;"6,5"
06.02.2023 15:34;Water;"6,5"
06.02.2023 15:39;Water;"6,5"
06.02.2023 15:44;Water;"6,5"
06.02.2023 15:49;Water;"6,5"
06.02.2023 15:54;Water;"6,5"
06.02.2023 15:59;Water;"6,5"
06.02.2023 16:04;Water;"6,5"
06.02.2023 16:09;Water;"6,5"
06.02.2023 16:14;Water;"6,5"
06.02.2023 16:19;Water;"6,5"
06.02.2023 16:24;Water;"6,6"
06.02.2023 16:29;Water;"6,6"
06.02.2023 16:34;Water;"6,6"
06.02.2023 16:39;Water;"6,6"
06.02.2023 16:44;Water;"6,6"
06.02.2023 16:49;Water;"6,6"
06.02.2023 16:54;Water;"6,6"
06.02.2023 16:59;Water;"6,6"
06.02.2023 17:04;Water;"6,6"
06.02.2023 17:09;Water;"6,6"
06.02.2023 17:14;Water;"6,6"
06.02.2023 17:19;Water;"6,6"
06.02.2023 17:24;Water;"6,6"
06.02.2023 17:29;Water;"6,6"
06.02.2023 17:34;Water;"6,6"
06.02.2023 17:39;Water;"6,6"
06.02.2023 17:44;Water;"6,6"
06.02.2023 17:49;Water;"6,7"
06.02.2023 17:54;Water;"6,7"
06.02.2023 17:59;Water;"6,8"
06.02.2023 18:04;Water;"6,9"
06.02.2023 18:09;Water;"6,9"
06.02.2023 18:14;Water;"6,9"
06.02.2023 18:19;Water;"6,9"
06.02.2023 18:24;Water;7
06.02.2023 18:29;Water;"6,9"
06.02.2023 18:34;Water;"6,9"
06.02.2023 18:39;Water;"6,9"
06.02.2023 18:44;Water;"6,9"
06.02.2023 18:49;Water;"6,9"
06.02.2023 18:54;Water;"6,9"
06.02.2023 18:59;Water;"6,9"
06.02.2023 19:04;Water;7
06.02.2023 19:09;Water;"7,1"
06.02.2023 19:14;Water;"7,1"
06.02.2023 19:19;Water;"7,1"
06.02.2023 19:24;Water;"7,1"
06.02.2023 19:29;Water;"7,1"
06.02.2023 19:34;Water;"7,1"
06.02.2023 19:39;Water;"7,1"
06.02.2023 19:44;Water;"7,2"
06.02.2023 19:49;Water;"7,2"
06.02.2023 19:54;Water;"7,2"
06.02.2023 19:59;Water;"7,2"
06.02.2023 20:04;Water;"7,3"
06.02.2023 20:09;Water;"7,3"
06.02.2023 20:14;Water;"7,3"
06.02.2023 20:19;Water;"7,2"
06.02.2023 20:24;Water;"7,1"
06.02.2023 20:29;Water;"7,1"
06.02.2023 20:34;Water;"7,1"
06.02.2023 20:39;Water;7
06.02.2023 20:44;Water;"6,9"
