"Station";"Asterocystis ornata";"Amphibalanus improvisus";"Bangia atropurpurea";"Bathyporeia pilosa";"Bryozoa";"Bylgides sarsi";"Bythinia sp.";"Ceraclea nigronervosa";"Ceramium tenuicorne";"Ceratopogonidae";"Chara sp.";"Chelicorophium curvispinum";"Chironomidae";"Chironomus muratensis";"Chironomus sp.";"Cladophora glomerata";"Cladophora rupestris";"Cladophora vagabunda";"Coccotylus truncatus";"Coleoptera";"Colletopterum sp.";"Cordylophora caspia";"Corophium sp.";"Cricotopus sp.";"Corophium volutator";"Cyanophthalma obscura";"Dreissena polymorpha";"Ectocarpus sp.";"Electra crustulenta";"Enchytraeidae";"Ephemeroptera";"Erpobdella sp.";"Fontinalis antipyretica";"Fucus vesiculosus";"Gammaridae";"Gammarus sp.";"Gammarus oceanicus";"Gammarus tigrinus";"Gammarus zaddachi";"Halicryptus spinulosus";"Heteroptera";"Hirudinea";"Helobdella stagnalis";"Hydra viridis";"Hydracarina";"Hydrobia sp.";"Jaera sp.";"Laonome sp.";"Lekanesphaera sp. juv.";"Macoma balthica";"Limnodrilus hoffmeisteri";"Limoniidae";"Lumbriculidae";"Lymnaea sp.";"Lyngbya aestuarii";"Lyngbya majuscula";"Manayunkia aestuarina";"Marenzelleria sp.";"Marenzelleria arctia";"Marenzelleria neglecta";"Megaloptera";"Monoporeia affinis";"Mytilopsis leucophaeata";"Nematoda";"Nemertini";"Oligochaeta";"Ostracoda";"Pontoporeia femorata";"Potamogeton crispus";"Potamogeton pectinatus";"Potamogeton perfoliatus";"Pisidiidae";"Piscicola geometra";"Pygospio elegans";"Pylaiella littoralis";"Planorbidae";"Plecoptera";"Potamopyrgus antipodarum";"Procladius gr. ferrugineus";"Prostoma sp.";"Rangia cuneata";"Rhizoclonium hieroglyphicum";"Rhizoclonium sp.";"Rhizoclonium riparium";"Saduria entomon";"Sphacelaria sp.";"Sphacelaria arctica";"Sphacelaria cirrosa";"Sphaeriidae sp.";"Spongia";"Stictochironomus crassiforceps";"Stigeoclonium tenue";"Stylaria lacustris";"Tenellia adspersa";"Theodoxus fluviatilis";"Theodoxus pallasi";"Trichoptera";"Turbellaria";"Tubificade juv.";"Ulva intestinalis";"Ulva prolifera";"Unio sp.";"Urospora sp.";"Valvata sp.";"Viviparus viviparus";"Xenochironomus xenolabis";"Zanichelia sp.";"sampling_station_name";"depth";"mud";"clay";"fine_sand";"medium_sand";"coarse_sand";"gravel";"stone_small";"stone_large"
"149";0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"149";1,4;0;0;100;0;0;0;0;0
"150";0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"150";1,44;0;0;100;0;0;0;0;0
"151";0;0;0;0;0;0;0;0;0,07;0;1,4;0;4,60142857142857;0;0;12,9;0;314,285714285714;0;0;0;0;0;0;0,0714285714285714;0,01;0,142857142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,305714285714286;0;0;0;0;0,142857142857143;0;0;0;0;0;0;0,08;0;0;0,511428571428571;0;0;0,075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,075;0;0;0;0;0;0;0;"151";1,2;0;3,5;1;3,5;4,5;27,5;35;25
"152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"152";0,5;0;0;100;0;0;0;0;0
"153";0;0;0;0;0;0;0;0;0,0333333333333333;0;0;0,1;1,4795670995671;0;0;0;0,0333333333333333;75,3246753246753;0;0;0;0;0;0;0;0;0,466233766233766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0,666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,173160173160173;0;0;0;0;0;0;0;0;0;0;"153";1,2;0;50;17;10;10;0;10;3
"154";0;0;0;0;0;0;0;0;0;0;0;0,4;0,854777070063694;0;0;0;0;200,632911392405;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0636942675159236;0;0;0;0;0;0;0;0,573248407643312;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;2,60955414012739;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,509554140127389;0;0;0;0;0;0;"154";1,3;0;30;5;5;5;25;20;10
"155";0;3,59375;0;0;0;0;0;0;0;0;0;0;0,9775;0;0;0;0;226,5625;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0;0;0;1,40625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,118125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1304,6875;0;0;0;0;0;0;"155";0,5;0;50;15;15;15;0;0;5
"156";0;2,8;0,0333333333333333;0;0;0;0;0;0;0,0666666666666667;0;2,46666666666667;5,08811040339703;0;0;143,333333333333;0;166,666666666667;0;0;0;0;0;0;0;0;5,17579617834395;0;0;0;0;0;0;0;0;0,133333333333333;0;0;0;0;0;0;0;0;0,233333333333333;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,127388535031847;0;0;0,7;0;0;0;0;0;0;0;0;0;0;0;0;0,0666666666666667;0;0;0;1,33333333333333;0;0;0;0;0;0;"156";0,85;0;10;20;15;15;0;30;10
"17";0;3403,706;0;0;0;0;0;0,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"17";4;0;0;0;0;80;15;5;0
"186";0;17,3;0;0;0;0;0;0;0;0;0;1,75;0,45;0;0;0;0;364;0;0;0;0;0;0;0;0;0,7;0,005;0;0;0;0;0;0;0;0;2,45;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;"186";0,75;0;0;60;15;15;5;0;5
"19-GFGrBay-1";0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"19-GFGrBay-1";0,5;30;0;20;30;10;10;0;0
"19-GFKop-17";0;9,40932872217788;0;0;0;0;0;0;0;0;0;0,730858552087602;1,47482198878847;0;0;0;0;0;0;0;0;1,86219739292365;0;0;0;1,06810321894121;0,54;0;0;0;0;0;0;0;0;0;0;0,374878070408797;0;0;0;0;0;0;0,0471313292542343;0;0,34963534963535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,93665173553442;0;0;0,0186219739292365;0;0;0;0;0;0;0;0;0;0;0;21,1402304139734;0;0;1,23862489784277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0900900900900901;0;0;0;0;0;0;0;0;0;0;0;"19-GFKop-17";0,375;0;0;10;10;0;10;20;50
"19-GFKop-19";0;0;0;0;0;0;0;0;0;0;0;0,00980392156862745;0,20016339869281;0;0;0;0;0;0;0;0;43,7162393335767;0;0;0;0,305882352941176;0;0;0;0;0;0;0;0;0;0;0;13,0800913783773;0;0;0;0;0;0;0;0;0;0,772277382290496;0;0;0;0;0;0;0;0;0;0,0382165605095541;0;0;0;0;4993,40498938429;0;0;0,120915032679739;0;0;0;0;0;0;0;0;0;0;0;0,0931372549019608;0;0;1040,96744515216;0;0;0;0;0;0;0;0;0;0;0;0;0,146496815286624;1,01380042462845;0;0;0;0;0;0;0;0;0;0;0;0;"19-GFKop-19";2,3;0;10;0;0;10;10;30;0
